,year,GeoLocation
5591,2002.0,United States
5592,2002.0,United States
5593,2002.0,United States
5594,2002.0,United States
5595,2003.0,United States
5596,2004.0,United States
5597,2003.0,United States
5598,2004.0,United States
5599,2004.0,United States
5600,2004.0,United States
5601,2004.0,United States
5602,2004.0,United States
5603,2006.0,United States
5604,2006.0,United States
5605,2006.0,United States
5606,2006.0,United States
5607,2009.0,United States
5608,1998.0,United States
5609,2005.0,United States
5625,1999.0,United States
5626,2000.0,United States
5627,2000.0,United States
5628,2000.0,United States
5629,2000.0,United States
5630,2000.0,United States
5631,2000.0,United States
5632,2000.0,United States
5633,2000.0,United States
5634,2000.0,United States
5635,2000.0,United States
5636,2002.0,United States
5638,2008.0,United States
5639,2008.0,United States
5640,2008.0,United States
5641,2008.0,United States
5642,2004.0,United States
5644,2008.0,United States
5645,2008.0,United States
5683,1995.0,Libya
5708,2000.0,United States
5715,1995.0,Libya
5716,1995.0,Libya
5717,1995.0,Libya
5718,1995.0,Libya
5719,1995.0,Libya
5720,1995.0,Libya
5721,1995.0,Libya
5722,1995.0,Libya
5723,1995.0,Libya
5724,1995.0,Libya
5725,1995.0,Libya
5726,1995.0,Libya
5727,1995.0,Libya
5728,1995.0,Libya
5729,1995.0,Libya
5730,1995.0,Libya
5731,1995.0,Libya
5732,1995.0,Libya
5733,1995.0,Libya
5734,1995.0,Libya
5735,1995.0,Libya
5736,1995.0,Libya
5737,1995.0,Libya
5738,1995.0,Libya
5739,1995.0,Libya
5740,1995.0,Libya
5741,1995.0,Libya
5742,1995.0,Libya
5743,1995.0,Libya
5744,1995.0,Libya
5745,1995.0,Libya
5746,1995.0,Libya
5747,1995.0,Libya
5748,1995.0,Libya
5749,1995.0,Libya
5750,1995.0,Libya
5751,1995.0,Libya
5752,1995.0,Libya
5753,1995.0,Libya
5754,1995.0,Libya
5755,1995.0,Libya
5756,1995.0,Libya
5757,1995.0,Libya
5758,1995.0,Libya
5759,1995.0,Libya
5760,1995.0,Libya
5761,1995.0,Libya
5762,1995.0,Libya
5763,1995.0,Libya
5764,1995.0,Libya
5765,1995.0,Libya
5766,1995.0,Libya
5767,1995.0,Libya
5768,1995.0,Libya
5769,1995.0,Libya
5770,1995.0,Libya
5771,1995.0,Libya
5772,1995.0,Libya
5773,1995.0,Libya
5774,1995.0,Libya
5775,1995.0,Libya
5776,1995.0,Libya
5777,1995.0,Libya
5778,1995.0,Libya
5779,1995.0,Libya
5780,1995.0,Libya
5781,1995.0,Libya
5782,1995.0,Libya
5783,1995.0,Libya
5784,1995.0,Libya
5785,1995.0,Libya
5786,1995.0,Libya
5787,1995.0,Libya
5788,1995.0,Libya
5789,1995.0,Libya
5790,1995.0,Libya
5791,1995.0,Libya
5792,1995.0,Libya
5793,1995.0,Libya
5794,1995.0,Libya
5795,1995.0,Libya
5796,1995.0,Libya
5797,1995.0,Libya
5798,1995.0,Libya
5799,1995.0,Libya
5800,1995.0,Libya
5801,1995.0,Libya
5802,1995.0,Libya
5803,1995.0,Libya
5804,1995.0,Libya
5805,1995.0,Libya
5806,1995.0,Libya
5807,1996.0,Libya
5808,1996.0,Libya
5809,1996.0,Libya
5810,1996.0,Libya
5811,1996.0,Libya
5812,1996.0,Libya
5813,1996.0,Libya
5814,1997.0,Libya
5815,1999.0,Libya
5816,1999.0,Libya
5817,1999.0,Libya
5818,1999.0,Libya
5819,1999.0,Libya
5820,1999.0,Libya
5821,1999.0,Libya
5822,1999.0,Libya
5823,1999.0,Libya
5824,1996.0,Libya
5825,2000.0,Libya
5826,1999.0,Libya
5827,1999.0,Libya
5828,1999.0,Libya
5829,1999.0,Libya
5830,1999.0,Libya
5831,1999.0,Libya
5832,1999.0,Libya
5833,1999.0,Libya
5834,1999.0,Libya
5835,1996.0,Libya
5836,2000.0,Libya
5837,2000.0,Libya
5838,2001.0,Libya
5839,1999.0,Libya
5840,1999.0,Libya
5841,1999.0,Libya
5842,1999.0,Libya
5843,1999.0,Libya
5844,2000.0,Libya
5845,2000.0,Libya
5846,1996.0,Libya
5847,1998.0,Libya
5848,1998.0,Libya
5849,2000.0,Libya
5850,1999.0,Libya
5851,1999.0,Libya
5852,1999.0,Libya
5853,1999.0,Libya
5854,1999.0,Libya
5855,1999.0,Libya
5856,1999.0,Libya
5857,1996.0,Libya
5858,2001.0,Libya
5859,1998.0,Libya
5860,1999.0,Libya
5861,2005.0,Libya
5862,2006.0,Libya
5863,2005.0,Libya
5864,1999.0,Libya
5865,2001.0,Libya
5866,2007.0,Libya
5867,1996.0,Libya
5868,2007.0,Libya
5869,2000.0,Libya
5870,2008.0,Libya
5871,2006.0,Libya
5872,1999.0,Libya
5873,2007.0,Libya
5874,1998.0,Libya
5875,1998.0,Libya
5877,2010.0,Libya
5878,1996.0,Libya
5879,2010.0,Libya
5880,2010.0,Libya
5881,2002.0,Libya
5882,1996.0,Libya
5883,1996.0,Libya
5884,1996.0,Libya
5885,1996.0,Libya
5886,1996.0,Libya
5887,1996.0,Libya
5888,1996.0,Libya
5889,1996.0,Libya
5890,1996.0,Libya
5891,1996.0,Libya
